Var1,Var2,Var3,Var4a,Var4b,Var4c,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Ex.KLD Dryer
BER,03/01/2018,1,1,0,0,79.39,1.29,65.76,1.48,65.48,4.73,61.98,15.40,12.97,14.77
BER,03/01/2018,1,1,0,0,79.18,1.40,65.72,1.45,64.94,4.80,61.46,15.64,12.97,14.77
BER,03/01/2018,1,1,0,0,78.73,1.45,66.00,1.48,64.13,4.80,60.21,16.14,12.35,14.77
BHT,26/02/2018,1,0,0,1,79.63,13.60,66.22,11.26,72.77,5.47,55.55,21.54,12.6,15.43
BHT,26/02/2018,1,0,0,1,79.66,13.49,66.23,11.17,72.78,5.45,55.77,21.52,13.42,15.43
CA,10/01/2018,1,0,1,0,79.04,21.42,66.33,17.98,66.59,5.28,59.25,19.04,13.22,14.47
CA,10/01/2018,1,0,1,0,78.79,18.71,66.43,15.78,65.55,5.53,58.65,19.93,12.21,14.47
CJQ,01/01/2018,1,1,0,0,79.00,1.47,65.93,1.47,65.75,4.55,62.75,16.23,13.43,14.1
CJQ,01/01/2018,1,1,0,0,78.83,1.51,66.03,1.46,65.21,4.77,62.15,16.40,13.57,14.1
CRK,02/01/2018,1,1,0,0,78.98,1.35,66.29,1.49,67.86,3.03,67.05,17.19,13.65,14.27
CRK,02/01/2018,1,1,0,0,79.04,1.27,66.20,1.48,67.88,3.11,65.48,16.50,13.49,14.27
CRK,02/01/2018,1,0,0,1,78.79,12.73,66.44,10.76,65.39,4.99,59.89,18.46,13.73,14.27
CSK,11/01/2018,0,0,1,0,78.72,18.00,66.51,15.22,65.30,5.43,58.90,20.12,14.22,14.46
CSK,11/01/2018,0,0,1,0,78.75,17.39,66.52,14.71,65.42,5.35,59.18,19.98,14.62,14.46
CSK,11/01/2018,0,0,0,1,78.78,15.88,66.56,13.43,65.45,5.20,58.89,19.34,15.11,14.46
CSK,11/01/2018,0,0,0,1,78.79,15.46,66.56,13.07,65.44,5.16,58.87,19.34,14.26,14.46
CTL,02/01/2018,0,0,1,0,78.80,1.47,66.13,1.41,66.06,4.86,62.32,15.84,13.69,14.94
CTL,02/01/2018,0,0,0,1,78.72,14.62,66.30,12.34,65.48,5.25,58.31,19.54,13.47,14.94
CTM,08/02/2018,0,1,0,0,78.18,1.40,65.38,0.93,69.70,3.47,62.58,20.31,13.59,15.14
CTM,08/02/2018,0,1,0,0,78.27,1.53,65.32,0.90,69.66,3.45,62.46,19.72,13.68,15.14
CTM,08/02/2018,0,1,0,0,78.29,1.48,65.28,0.94,69.48,3.50,61.67,20.28,13.9,15.14
CTM,08/02/2018,0,1,0,0,78.14,1.47,65.43,1.00,69.39,3.57,62.03,20.29,13.49,15.14
CTM,08/02/2018,0,0,1,0,78.05,1.48,65.59,1.13,69.42,3.67,62.41,20.18,13.49,15.14
CTM,08/02/2018,0,0,0,1,77.15,10.35,65.85,8.91,67.92,4.99,48.90,23.00,13.99,15.14
DF,29/01/2018,1,1,0,0,78.71,24.77,66.03,20.83,63.63,5.76,47.03,18.22,13.88,14.51
DF,29/01/2018,1,1,0,0,78.69,23.13,66.20,19.51,63.52,5.78,47.31,18.65,14.46,14.51
DF,29/01/2018,1,0,1,0,78.73,21.80,66.21,18.38,63.71,5.67,48.13,19.09,13.73,14.51
DF,29/01/2018,1,0,1,0,78.75,20.67,66.17,17.41,64.42,5.86,49.69,19.52,14.76,14.51
DF,29/01/2018,1,0,1,0,78.69,19.67,66.11,16.57,64.89,5.84,52.65,21.04,14.05,14.51
DF,29/01/2018,1,0,1,0,78.56,18.04,65.97,15.19,65.69,5.79,54.76,21.34,13.57,14.51
DF,29/01/2018,1,0,1,0,78.49,17.36,65.92,14.62,66.03,5.76,55.42,21.32,13.98,14.51
DS,20/01/2018,1,1,0,0,78.37,1.52,66.85,1.22,62.43,4.88,57.40,23.67,13.87,14.45
DS,20/01/2018,1,1,0,0,78.36,1.40,66.98,1.29,62.94,4.73,59.25,22.34,14.19,14.45
DS,20/01/2018,1,1,0,0,78.46,1.38,66.97,1.37,63.84,4.83,60.45,21.21,13.65,14.45
MTM,02/01/2018,0,1,0,0,78.98,1.35,66.29,1.49,67.86,3.03,67.05,17.19,13.42,14.89
MTM,02/01/2018,0,1,0,0,79.04,1.27,66.20,1.48,67.88,3.11,65.48,16.50,14.04,14.89
MTM,02/01/2018,0,1,0,0,78.77,1.44,66.04,1.48,64.66,4.77,61.19,16.47,14.88,14.89
MTM,02/01/2018,0,0,0,1,78.94,16.87,66.23,14.17,66.17,4.92,60.94,17.66,13.89,14.89
MTM,02/01/2018,0,0,0,1,78.92,16.36,66.21,13.75,66.03,4.93,60.84,17.78,14.66,14.89
MTM,02/01/2018,0,0,0,1,78.77,14.69,66.31,12.39,65.30,5.20,59.80,18.78,13.85,14.89
SEL,01/01/2018,0,1,0,0,78.31,1.61,66.39,1.37,66.88,3.80,63.57,16.74,12.86,14.96
SEL,01/01/2018,0,1,0,0,78.80,1.43,66.26,1.45,67.55,3.39,64.84,16.60,13.31,14.96
SEL,01/01/2018,0,1,0,0,78.99,1.43,66.28,1.35,66.91,3.86,64.35,16.38,13.05,14.96
SEL,01/01/2018,0,1,0,0,79.09,1.44,65.99,1.49,66.23,4.37,63.31,16.17,13.05,14.96
SEL,01/01/2018,0,0,1,0,78.76,1.49,66.15,1.41,66.13,4.78,62.42,15.92,14.27,14.96
SFM,02/01/2018,1,1,0,0,79.04,1.27,66.20,1.48,67.88,3.11,65.48,16.50,13.3,14.07
SFN,15/02/2018,1,0,0,1,76.75,13.69,65.80,11.83,67.55,5.03,47.73,22.42,13.94,14.38
SFN,15/02/2018,1,0,0,1,76.76,13.30,65.80,11.49,67.49,5.11,46.96,22.42,12.82,14.38
TF,02/01/2018,1,1,0,0,79.04,1.27,66.20,1.48,67.88,3.11,65.48,16.50,13.31,14.21
TFPM,05/01/2018,1,1,0,0,78.56,1.44,66.19,1.49,64.47,4.79,60.59,16.26,13.01,13.91
TFPM,05/01/2018,1,1,0,0,78.69,1.53,66.09,1.46,65.21,5.06,61.42,16.07,13.09,13.91
WFF,09/01/2018,0,1,0,0,78.84,1.38,66.80,1.09,67.46,3.38,64.50,15.73,14.32,14.24
WFF,09/01/2018,0,0,1,0,78.99,20.39,66.38,17.15,66.60,5.09,59.71,19.04,13.38,14.24
WFF,09/01/2018,0,0,0,1,77.99,14.10,66.11,11.98,66.59,5.30,53.53,21.92,13.28,14.24
WFP,02/01/2018,1,1,0,0,79.04,1.27,66.20,1.48,67.88,3.11,65.48,16.50,13.43,14.46
WM,04/01/2018,1,1,0,0,79.54,1.32,65.58,1.45,64.26,4.90,61.02,15.20,13.43,14.07
WM,04/01/2018,1,0,0,1,78.61,13.94,66.21,11.77,65.91,5.31,58.42,19.74,13.7,14.07
YT,17/01/2018,0,0,0,1,77.82,12.08,66.07,10.30,66.44,5.38,52.36,22.19,13.95,15.33
YT,17/01/2018,0,0,0,1,77.80,11.96,66.08,10.20,66.48,5.39,52.19,22.20,13.7,15.33
YT,17/01/2018,0,0,0,1,78.12,12.28,66.12,10.42,67.91,5.77,53.39,22.25,13.21,15.33
YT,17/01/2018,0,0,0,1,78.41,13.39,66.14,11.31,68.82,5.96,54.67,22.09,12.9,15.33
YTMS,05/01/2018,0,0,0,1,78.73,16.83,66.25,14.18,65.36,5.31,59.16,18.36,12.74,14.41
YTMS,05/01/2018,0,0,0,1,78.70,16.32,66.30,13.77,65.15,5.37,59.17,18.58,12.74,14.41
YTMS,05/01/2018,0,0,0,1,78.68,15.39,66.33,13.00,65.21,5.30,57.48,19.54,12.9,14.41
YTMS,05/01/2018,0,0,0,1,78.68,15.18,66.30,12.82,65.36,5.33,57.79,19.70,12.77,14.41
YTMS,05/01/2018,0,0,0,1,78.47,13.62,66.17,11.51,65.99,5.29,57.81,20.16,12.71,14.41
YTMZ,04/01/2018,1,1,0,0,78.85,1.56,65.86,1.45,63.46,4.91,60.13,15.95,12.94,14.33
YTMZ,04/01/2018,1,1,0,0,78.66,1.49,65.97,1.48,63.38,4.71,59.48,16.15,12.81,14.33
YTMZ,04/01/2018,1,1,0,0,78.64,1.42,66.12,1.49,63.94,4.63,60.21,16.64,13.12,14.33
BER,04/01/2018,1,0,1,0,78.90,17.42,66.21,14.64,65.77,5.08,60.18,17.86,13.3,14.7
BER,04/01/2018,1,0,0,1,78.87,16.86,66.24,14.18,65.53,5.20,59.63,18.13,13.22,14.7
CA,18/01/2018,0,1,0,0,78.52,1.30,66.60,1.37,62.14,5.61,51.95,19.97,13.23,15.47
CA,18/01/2018,0,1,0,0,78.02,1.49,66.51,1.56,62.31,5.53,53.86,19.69,12.79,15.47
CA,18/01/2018,0,1,0,0,78.12,1.53,66.69,1.40,62.22,5.44,55.67,20.51,13.01,15.47
CA,18/01/2018,0,1,0,0,78.19,1.51,66.68,1.41,62.37,5.21,55.63,21.84,13.48,15.47
CA,18/01/2018,0,1,0,0,78.23,1.45,66.79,1.43,62.69,5.07,57.10,21.48,13.86,15.47
CA,18/01/2018,0,0,0,1,77.77,11.95,66.11,10.20,66.55,5.41,51.77,22.19,13.04,15.47
CA,18/01/2018,0,0,0,1,77.76,11.84,66.12,10.11,66.59,5.41,51.50,22.23,12.84,15.47
CA,18/01/2018,0,0,0,1,78.36,13.63,66.14,11.52,68.74,5.93,54.50,22.20,12.93,15.47
CA,18/01/2018,0,0,0,1,78.38,13.55,66.13,11.44,68.81,5.94,54.56,22.17,12.8,15.47
CA,18/01/2018,0,0,0,1,79.32,14.01,66.21,11.65,70.86,6.22,56.72,21.13,13.3,15.47
CA,18/01/2018,0,0,0,1,79.34,13.95,66.20,11.60,70.89,6.21,56.88,21.20,13.16,15.47
CRK,02/01/2018,1,1,0,0,79.04,1.27,66.20,1.48,67.88,3.11,65.48,16.50,13.33,14.21
CSK,14/05/2018,0,1,0,0,79.98,1.42,66.86,1.25,73.21,3.70,71.21,15.27,13.58,14.44
CSK,14/05/2018,0,1,0,0,80.40,1.32,66.46,1.37,74.03,3.62,67.61,16.19,14.4,14.44
CSK,14/05/2018,0,1,0,0,80.37,1.37,66.48,1.35,73.86,3.70,68.67,15.68,12.86,14.44
CSK,14/05/2018,0,0,1,0,80.47,20.76,66.51,17.17,73.81,3.96,69.93,15.97,13.26,14.44
CSK,14/05/2018,0,0,1,0,80.81,16.62,66.50,13.68,74.04,3.92,71.32,16.46,13.71,14.44
CSK,14/05/2018,0,0,0,1,80.94,21.51,66.54,17.69,74.38,3.97,71.25,16.11,14.07,14.44
CSK,14/05/2018,0,0,0,1,81.09,20.35,66.49,16.68,74.42,3.95,71.81,15.91,13.59,14.44
CSK,14/05/2018,0,0,0,1,81.16,19.84,66.48,16.24,74.51,3.92,71.94,15.69,13.69,14.44
CSK,14/05/2018,0,0,0,1,81.13,21.12,66.22,17.25,73.84,3.75,74.94,14.68,14.88,14.44
CTL,09/02/2018,1,1,0,0,78.43,0.68,65.48,0.83,70.79,3.26,68.52,21.88,13.64,14.89
